point_id,source_file,sensor_1,sensor_2,sensor_3,prediction,distance
34360555498,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_100.csv,0.02182,0.0010681,0.058594,0,0.03850553441169623
42950176914,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_103.csv,0.02182,-0.0022888,4.9121,1,0.3157407838212672
8590828488,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_29.csv,0.011444,0.0071716,0.067139,0,1.1342755348642264
17180689525,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_77.csv,0.021973,0.002594,4.9231,1,0.2011447930125951
8590141424,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_106.csv,0.030823,-0.0030518,4.9292,1,0.9139968027300184
34361005614,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_3.csv,0.088348,0.036926,0.026855,0,7.018642251039473
17181408458,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_8.csv,0.0083923,-0.0073242,0.061035,0,1.4500939117826688
8591471248,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_34.csv,0.023956,0.0090027,4.9133,1,0.8949851710461975
51540422683,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_85.csv,0.016174,-0.0067139,0.036621,0,0.9200968421298026
25770862709,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_43.csv,0.018768,-0.0080872,4.9353,1,0.9539246099435933
51541257462,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_7.csv,0.034027,0.0027466,4.9097,1,1.1286048626716287
8591063100,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_31.csv,0.027618,-0.0032043,0.064697,0,0.6648042045698738
253068,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_47.csv,0.0048828,-0.016632,4.9158,1,2.340228690507742
60130341901,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_58.csv,0.010071,-0.022278,0.054932,0,2.620623809799319
51540029388,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_99.csv,0.018616,-0.011292,4.9146,1,1.284037738847689
60129922530,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_63.csv,0.014954,0.0056458,0.041504,0,0.7913801204950569
17181352771,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_8.csv,0.022125,-0.00076294,4.9207,1,0.16382276287123826
17180127359,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_87.csv,0.016327,-0.00076294,0.048828,0,0.5018546983701048
25769857835,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_14.csv,0.025482,0.0038147,4.9072,1,0.47841598708139244
51539886954,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_33.csv,0.027313,-0.0032043,0.036621,0,0.6437877551027902
