point_id,source_file,prediction,distance,sensor_1,sensor_2,sensor_3
60130631294,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv,1,37.972415145952404,0.0028992,-0.36285,4.928
60130631298,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv,2,37.45733675694143,0.015717,0.37598,4.9414
60130580608,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv,2,28.89409083473886,0.046387,0.29297,4.9316
42950620136,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv,0,27.238862898182827,0.32578,-0.042419,0.056152
60130580607,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv,2,25.85518637913332,0.050812,0.26337,4.9268
42950620137,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv,0,25.110546762132145,0.30136,-0.042725,0.053711
42950620135,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_36.csv,0,24.67397155905119,0.29816,-0.033112,0.048828
60130631302,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv,1,24.380519026920247,-0.0028992,-0.23254,4.9304
60130631306,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv,2,24.21707059912329,0.040436,0.24857,4.9304
42950982743,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv,0,23.579570858358554,0.28778,-0.016479,0.062256
60130631303,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv,1,23.564241339703266,0.0074768,-0.22537,4.9292
60130995085,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_37.csv,2,22.667289963363793,0.013733,0.23483,0.068359
42950982742,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv,0,22.274686848439465,0.2713,-0.030212,0.057373
42950880300,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv,0,21.790966870957977,0.26794,0.0090027,0.043945
60130483234,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv,0,21.780009190340326,0.050201,-0.20752,0.046387
42950982744,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv,0,21.251441298084874,0.26199,-0.0080872,0.058594
42950902569,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv,0,21.179219500265095,0.26123,0.0045776,0.041504
42950880301,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv,0,20.96317462085856,0.25742,0.02121,0.045166
60130580611,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv,1,20.756438931601227,-0.011749,-0.19684,4.9109
60130631299,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_6.csv,2,20.66835747488218,0.01297,0.21561,4.939
60130580619,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv,1,20.602097615441064,-0.016632,-0.1947,4.906
60130548035,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_68.csv,2,20.577525514101435,0.036316,0.21408,0.037842
42950933752,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv,0,20.527329961417177,0.24796,-0.045319,0.047607
42950911483,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv,0,20.466807623376955,0.24307,-0.058441,0.063477
42950902570,file:///home/isaac/Documents/BDA/bda-exercises-3-group-1/data/problem_3/gearbox/Run_104.csv,0,20.360403517056373,0.25162,0.011292,0.036621
